,views,timestamp,page_name
0,29,2018-01-01,Хелловін
1,29,2018-01-02,Хелловін
2,32,2018-01-03,Хелловін
3,23,2018-01-04,Хелловін
4,39,2018-01-05,Хелловін
5,36,2018-01-06,Хелловін
6,36,2018-01-07,Хелловін
7,30,2018-01-08,Хелловін
8,29,2018-01-09,Хелловін
9,30,2018-01-10,Хелловін
10,31,2018-01-11,Хелловін
11,31,2018-01-12,Хелловін
12,47,2018-01-13,Хелловін
13,42,2018-01-14,Хелловін
14,40,2018-01-15,Хелловін
15,46,2018-01-16,Хелловін
16,33,2018-01-17,Хелловін
17,38,2018-01-18,Хелловін
18,36,2018-01-19,Хелловін
19,26,2018-01-20,Хелловін
20,47,2018-01-21,Хелловін
21,33,2018-01-22,Хелловін
22,38,2018-01-23,Хелловін
23,49,2018-01-24,Хелловін
24,38,2018-01-25,Хелловін
25,31,2018-01-26,Хелловін
26,26,2018-01-27,Хелловін
27,32,2018-01-28,Хелловін
28,36,2018-01-29,Хелловін
29,53,2018-01-30,Хелловін
30,36,2018-01-31,Хелловін
31,42,2018-02-01,Хелловін
32,32,2018-02-02,Хелловін
33,37,2018-02-03,Хелловін
34,40,2018-02-04,Хелловін
35,49,2018-02-05,Хелловін
36,33,2018-02-06,Хелловін
37,62,2018-02-07,Хелловін
38,55,2018-02-08,Хелловін
39,32,2018-02-09,Хелловін
40,37,2018-02-10,Хелловін
0,160,2018-01-01,Танці_з_зірками
1,62,2018-01-02,Танці_з_зірками
2,104,2018-01-03,Танці_з_зірками
3,62,2018-01-04,Танці_з_зірками
4,74,2018-01-05,Танці_з_зірками
5,114,2018-01-06,Танці_з_зірками
6,146,2018-01-07,Танці_з_зірками
7,102,2018-01-08,Танці_з_зірками
8,48,2018-01-09,Танці_з_зірками
9,61,2018-01-10,Танці_з_зірками
10,53,2018-01-11,Танці_з_зірками
11,50,2018-01-12,Танці_з_зірками
12,128,2018-01-13,Танці_з_зірками
13,86,2018-01-14,Танці_з_зірками
14,53,2018-01-15,Танці_з_зірками
15,54,2018-01-16,Танці_з_зірками
16,52,2018-01-17,Танці_з_зірками
17,61,2018-01-18,Танці_з_зірками
18,63,2018-01-19,Танці_з_зірками
19,112,2018-01-20,Танці_з_зірками
20,74,2018-01-21,Танці_з_зірками
21,59,2018-01-22,Танці_з_зірками
22,48,2018-01-23,Танці_з_зірками
23,48,2018-01-24,Танці_з_зірками
24,53,2018-01-25,Танці_з_зірками
25,79,2018-01-26,Танці_з_зірками
26,69,2018-01-27,Танці_з_зірками
27,82,2018-01-28,Танці_з_зірками
28,65,2018-01-29,Танці_з_зірками
29,45,2018-01-30,Танці_з_зірками
30,40,2018-01-31,Танці_з_зірками
31,37,2018-02-01,Танці_з_зірками
32,56,2018-02-02,Танці_з_зірками
33,78,2018-02-03,Танці_з_зірками
34,62,2018-02-04,Танці_з_зірками
35,61,2018-02-05,Танці_з_зірками
36,58,2018-02-06,Танці_з_зірками
37,40,2018-02-07,Танці_з_зірками
38,38,2018-02-08,Танці_з_зірками
39,46,2018-02-09,Танці_з_зірками
40,73,2018-02-10,Танці_з_зірками
0,21,2018-01-01,Мартин_(птах)
1,22,2018-01-02,Мартин_(птах)
2,35,2018-01-03,Мартин_(птах)
3,24,2018-01-04,Мартин_(птах)
4,20,2018-01-05,Мартин_(птах)
5,25,2018-01-06,Мартин_(птах)
6,20,2018-01-07,Мартин_(птах)
7,28,2018-01-08,Мартин_(птах)
8,24,2018-01-09,Мартин_(птах)
9,22,2018-01-10,Мартин_(птах)
10,26,2018-01-11,Мартин_(птах)
11,29,2018-01-12,Мартин_(птах)
12,17,2018-01-13,Мартин_(птах)
13,35,2018-01-14,Мартин_(птах)
14,38,2018-01-15,Мартин_(птах)
15,14,2018-01-16,Мартин_(птах)
16,26,2018-01-17,Мартин_(птах)
17,29,2018-01-18,Мартин_(птах)
18,17,2018-01-19,Мартин_(птах)
19,21,2018-01-20,Мартин_(птах)
20,14,2018-01-21,Мартин_(птах)
21,24,2018-01-22,Мартин_(птах)
22,15,2018-01-23,Мартин_(птах)
23,14,2018-01-24,Мартин_(птах)
24,12,2018-01-25,Мартин_(птах)
25,23,2018-01-26,Мартин_(птах)
26,11,2018-01-27,Мартин_(птах)
27,22,2018-01-28,Мартин_(птах)
28,19,2018-01-29,Мартин_(птах)
29,31,2018-01-30,Мартин_(птах)
30,22,2018-01-31,Мартин_(птах)
31,19,2018-02-01,Мартин_(птах)
32,15,2018-02-02,Мартин_(птах)
33,40,2018-02-03,Мартин_(птах)
34,20,2018-02-04,Мартин_(птах)
35,32,2018-02-05,Мартин_(птах)
36,26,2018-02-06,Мартин_(птах)
37,169,2018-02-07,Мартин_(птах)
38,111,2018-02-08,Мартин_(птах)
39,62,2018-02-09,Мартин_(птах)
40,86,2018-02-10,Мартин_(птах)
